Feature_ID,Taxon,Confidence
b79f8c33fce046bc4dec765ec19b4242,d__Bacteria; p__Planctomycetota; c__Pla3_lineage; o__Pla3_lineage; f__Pla3_lineage; g__Pla3_lineage,0.999999999
22064b0d615053132e35d0e945f74b0d,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__DEV007; g__DEV007; s__uncultured_Verrucomicrobia,0.985152494
e24f43f79825fd65293483335d829359,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales; f__Thioglobaceae; g__SUP05_cluster; s__Candidatus_Thioglobus,0.892577186
328793f1366c70ea6b7e47fad2b981b4,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Silicimonas,0.981310695
4c9dfc65964f332362153387a6332c16,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Amoebophilaceae; g__Candidatus_Amoebophilus,1
04ee778a3bc3ff4b530ef58f3daa9534,d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__unidentified_marine,0.983108715
2c1114e5d10d048a3e939dbb9a8c2aba,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aurantivirga; s__uncultured_Flavobacteriaceae,0.787976262
d07efeb609eab8315de2090bce923e05,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Porticoccaceae; g__SAR92_clade,0.99999948
4880f1de4b809a26f6cd28caee918c6e,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Rubripirellula; s__uncultured_marine,0.979945574
25aacfa068974cdd4f0247f16f32f1ad,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Emiliania_huxleyi,0.986347284
f1f0fdc04fef0525a36dfc9aab47a861,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Formosa,0.989711044
41a1ca2c3c2b528246c95e6cdd37b240,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast,1
7e2a88a8b383e5e17fc7e16c045ea9ad,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Cryomorphaceae; g__uncultured,0.999999957
4b04bde7ae833208cc40a272e8eb2c0c,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__SAR116_clade; g__SAR116_clade,0.999471085
1a7aa86e55679b418ef3fb3d8f268c10,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales; f__Methylophagaceae; g__Methylophaga; s__Methylophaga_nitratireducenticrescens,0.917352918
99b73de4778587e0f3529941cc7e4c58,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast,0.999999128
efbc9a23f6a5d8224be7d43fbd6e4a74,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_soil,0.975014507
9188fc8bebdf164996c467a3c2218df5,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Aureococcus_anophagefferens,0.999999659
839da537e69629d149981a5c7e28e292,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_Cryptomonadaceae,0.704727856
daaa115f37da1d3bc519b363a9854578,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__DEV007; g__DEV007,0.999999339
abb8610a6b0c146ecb38bf9a15737549,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_prymnesiophyte,0.740570546
8f03d5a938bbd1fa8ff77590d1b08a3e,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group,1
7fad1018c685408942e8e33a41f83ae0,d__Bacteria; p__NB1-j; c__NB1-j; o__NB1-j; f__NB1-j; g__NB1-j; s__uncultured_organism,0.786937816
883c0f23ae058ce6b98c4cfabd6ee3f4,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Ulvibacter; s__Aureitalea_sp.,0.999875976
3a3862686a99df2bb289c4e2ade38d64,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Puniceispirillales; f__SAR116_clade; g__SAR116_clade; s__alpha_proteobacterium,0.968657206
26cbd74d261d4eb05c840744a8c8b792,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Ulvibacter; s__uncultured_marine,0.996414641
3f78e30c2bff29e08aeeadcaf67a3390,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Salinisphaerales; f__Salinisphaeraceae; g__Salinisphaera; s__uncultured_bacterium,0.976177774
38987e3720b306434e2edce064855d6a,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Formosa,0.997475157
27f2efe0076705fcc3b00a5073134847,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas,0.981427326
7a7653145a209a366d8b6050769b2f85,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__seawater_metagenome,0.727555086
ae1cdcd85407cc713323579fc2058578,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Cloacibacterium,0.978468349
3ca2296c99e2b15c316b66b12f519e43,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__Sediminibacterium_sp.,0.998533469
e1f4bc95c19567e895468908b058b43d,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Minutocellus_sp.,0.978686721
aaae9240c45cae1fd9ced193694dfa5b,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast,1
1f526ec539e27670c3e73c98b7023eac,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Cohaesibacter; s__uncultured_bacterium,0.952168122
ddbafdc210fdebc3f436aac9ebf09459,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Filomicrobium; s__uncultured_Alphaproteobacteria,0.872834852
